result,radiant_win,duration,start_time,game_mode,localized_name,kills,deaths,assists,primary_attr,attack_type,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs
0,1,2718,1662524751,22,Crystal Maiden,1,6,17,int,Ranged,0,0,0,1,1,0,0,1,2
1,1,2525,1662946154,22,Mirana,1,2,31,all,Ranged,1,0,0,1,1,0,0,1,2
1,1,2543,1662948997,22,Windranger,7,8,24,all,Ranged,1,0,0,1,1,0,0,1,2
1,0,1524,1662952098,22,Jakiro,2,0,25,int,Ranged,0,0,1,1,1,0,0,1,2
1,1,3186,1662954039,22,Crystal Maiden,2,14,32,int,Ranged,0,0,0,1,1,0,0,1,2
1,1,2647,1662958769,22,Mirana,3,5,19,all,Ranged,1,0,0,1,1,0,0,1,2
1,1,2015,1662962138,22,Winter Wyvern,2,6,17,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,2588,1663041836,22,Sven,9,5,8,str,Melee,1,0,0,1,1,1,1,0,2
1,1,2403,1663045151,22,Faceless Void,7,4,12,agi,Melee,1,0,0,0,1,1,1,0,2
0,0,2723,1663048192,22,Faceless Void,5,5,6,agi,Melee,1,0,0,0,1,1,1,0,2
1,0,2882,1663471501,22,Witch Doctor,10,8,21,int,Ranged,0,0,0,1,1,0,0,1,2
0,1,2759,1663539671,22,Dazzle,2,13,21,all,Ranged,0,0,0,1,1,0,0,1,2
1,0,2378,1663543359,22,Slardar,7,5,26,str,Melee,1,0,0,0,1,1,1,0,0
1,1,2024,1663548862,22,Chaos Knight,9,1,16,str,Melee,1,0,1,0,1,1,1,0,2
0,0,2690,1663561246,22,Phantom Lancer,5,7,12,agi,Melee,1,0,1,1,0,0,0,0,2
0,1,2474,1663564428,22,Death Prophet,2,7,6,int,Ranged,1,0,1,1,1,0,0,0,2
0,1,1933,1663719954,22,Mirana,2,10,8,all,Ranged,1,0,0,1,1,0,0,1,2
1,0,2860,1663722367,22,Undying,9,9,21,str,Melee,0,0,0,1,1,0,1,1,2
1,1,2007,1663808880,22,Undying,7,3,24,str,Melee,0,0,0,1,1,0,1,1,2
1,1,2041,1663811731,22,Undying,3,4,16,str,Melee,0,0,0,1,1,0,1,1,2
0,1,3380,1663814245,22,Crystal Maiden,7,15,15,int,Ranged,0,0,0,1,1,0,0,1,2
0,1,3264,1663982738,22,Undying,12,12,35,str,Melee,0,0,0,1,1,0,1,1,2
1,1,2635,1663986552,22,Chaos Knight,11,6,8,str,Melee,1,0,1,0,1,1,1,0,2
0,0,2758,1663989643,22,Legion Commander,6,10,10,str,Melee,1,0,0,1,1,1,1,0,2
1,0,1815,1663993727,22,Mars,6,4,13,str,Melee,1,0,0,0,1,1,1,0,2
1,0,2045,1663996388,22,Beastmaster,4,5,20,all,Melee,0,0,0,1,1,1,1,0,2
0,1,2104,1663999074,22,Tidehunter,0,8,4,str,Melee,1,0,0,1,1,1,1,0,2
1,0,1913,1664063710,22,Witch Doctor,9,6,19,int,Ranged,0,0,0,1,1,0,0,1,2
1,1,2726,1664066150,22,Undying,5,8,31,str,Melee,0,0,0,1,1,0,1,1,2
1,0,1805,1664080049,22,Undying,7,7,27,str,Melee,0,0,0,1,1,0,1,1,2
0,0,3999,1664166221,22,Undying,5,19,42,str,Melee,0,0,0,1,1,0,1,1,2
0,1,1883,1664170576,22,Witch Doctor,8,8,8,int,Ranged,0,0,0,1,1,0,0,1,2
0,1,1895,1664250292,22,Undying,1,7,11,str,Melee,0,0,0,1,1,0,1,1,2
1,1,2190,1664253949,22,Medusa,9,0,12,agi,Ranged,1,0,0,0,1,0,1,0,0
1,0,2492,1664256797,22,Phantom Assassin,16,2,9,agi,Melee,1,0,0,0,0,0,0,0,2
0,0,2514,1664341373,22,Phantom Lancer,5,9,10,agi,Melee,1,0,1,1,0,0,0,0,2
1,0,1820,1664594548,22,Chaos Knight,9,4,8,str,Melee,1,0,1,0,1,1,1,0,2
0,0,2751,1664598621,22,Medusa,14,8,13,agi,Ranged,1,0,0,0,1,0,1,0,0
0,0,3235,1665029233,22,Lion,3,7,15,int,Ranged,0,0,0,1,1,1,0,1,2
0,1,3285,1665033044,22,Lina,12,8,12,int,Ranged,1,0,0,1,1,0,0,1,2
1,1,2337,1665181020,22,Chaos Knight,16,2,14,str,Melee,1,0,1,0,1,1,1,0,2
1,1,2218,1665185712,22,Chaos Knight,12,3,8,str,Melee,1,0,1,0,1,1,1,0,2
1,0,3329,1665201601,22,Drow Ranger,10,3,19,agi,Ranged,1,0,1,0,1,0,0,0,2
0,1,2389,1665205424,22,Jakiro,4,11,9,int,Ranged,0,0,1,1,1,0,0,1,2
1,0,2674,1665208233,22,Slardar,6,5,14,str,Melee,1,0,0,0,1,1,1,0,0
0,1,2530,1665282039,22,Chaos Knight,17,10,8,str,Melee,1,0,1,0,1,1,1,0,2
1,0,2292,1665285521,22,Viper,4,4,22,agi,Ranged,1,0,0,0,1,1,1,0,0
0,0,2518,1665361420,22,Night Stalker,8,6,6,str,Melee,1,0,0,1,1,1,1,0,2
1,0,2550,1665365965,22,Medusa,6,0,14,agi,Ranged,1,0,0,0,1,0,1,0,0
1,1,2260,1665372561,22,Viper,7,6,12,agi,Ranged,1,0,0,0,1,1,1,0,0
0,1,1974,1665375279,22,Mars,5,8,12,str,Melee,1,0,0,0,1,1,1,0,2
1,0,2570,1665377868,22,Chaos Knight,9,3,8,str,Melee,1,0,1,0,1,1,1,0,2
1,0,2460,1665381048,22,Monkey King,8,4,14,agi,Melee,1,0,0,0,1,1,0,0,2
